# Descriptor tail for the Figure 4 interim plan. FROM BENCHMARK PROPERTIES ONLY; no answer-key input. Rule: population = the 9,167 coordinate-distinct representatives (lexicographically first coreid per group, benchmark/frozen/coord_keys.json), minus the 6 sealed exclusion-set structures; take the 1,000 highest helium void fraction (vf_he), then add every remaining structure with largest cavity diameter d_max > 15 Angstrom. Descriptors from /home1/users/Bei/recon/out/c00-c39.csv (geom.py: vf_he = fraction of cell where a He probe centre fits; d_max = 2*max min_i(|r-r_i|-sigma_i/2)). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id,vf_he,d_max,selected_by
246,2012[Zn][srs]3[ASR]2,0.436214,8.36965,vf_he_top1000
247,2012[Zn][tbo]3[ASR]1,0.384163,13.3355,vf_he_top1000
248,2012[Zr][reo]3[ASR]1,0.589713,16,vf_he_top1000
249,2013[Cd][nan]3[ASR]5,0.321843,7.607,vf_he_top1000
250,2013[Cd][rtl]3[ASR]2,0.412559,9.53442,vf_he_top1000
251,2013[Co][cml]3[ASR]1,0.324145,8.81563,vf_he_top1000
252,2013[Co][the]3[ASR]1,0.300301,16,d_max>15
253,2013[CrMn][lig]3[ASR]1,0.389356,9.65947,vf_he_top1000
254,2013[CrZn][lon]3[FSR]1,0.40851,11.0413,vf_he_top1000
255,2013[CuMn][nan]3[ASR]1,0.426043,10.4902,vf_he_top1000
256,2013[Cu][lvt]3[ASR]1,0.341599,11.5596,vf_he_top1000
257,2013[Cu][nan]3[ASR]1,0.440716,12.1742,vf_he_top1000
258,2013[Cu][nan]3[ASR]12,0.394867,8.75262,vf_he_top1000
259,2013[Cu][nan]3[ASR]7,0.33965,11.2671,vf_he_top1000
260,2013[Cu][nan]3[ASR]9,0.438862,13.6642,vf_he_top1000
261,2013[Cu][nbo]3[ASR]6,0.316863,10.6672,vf_he_top1000
262,2013[Cu][nts]3[ASR]1,0.469375,16,vf_he_top1000
263,2013[Cu][pto]3[ASR]1,0.496873,16,vf_he_top1000
264,2013[Cu][pto]3[ASR]2,0.521278,16,vf_he_top1000
265,2013[Cu][pts]3[ASR]5,0.396745,9.02441,vf_he_top1000
266,2013[Cu][tbo]3[ASR]1,0.380012,12.4283,vf_he_top1000
267,2013[Cu][tbo]3[ASR]2,0.366578,12.3328,vf_he_top1000
268,2013[Cu][tbo]3[ASR]3,0.368105,12.3343,vf_he_top1000
269,2013[Cu][tbo]3[ASR]4,0.369937,12.3349,vf_he_top1000
270,2013[Cu][ubt]3[ASR]1,0.426604,16,vf_he_top1000
271,2013[Cu][ubt]3[ASR]2,0.578951,16,vf_he_top1000
272,2013[Hf][bcu]3[ASR]1,0.459101,11.2742,vf_he_top1000
273,2013[Hf][bcu]3[ASR]2,0.453471,10.6688,vf_he_top1000
274,2013[Hf][reo]3[ASR]1,0.444829,16,vf_he_top1000
275,2013[In][acs]3[ASR]1,0.634375,15.4354,vf_he_top1000
276,2013[Mn][pto]3[ASR]1,0.516385,16,vf_he_top1000
277,2013[Ni][nan]3[ASR]1,0.375407,14.7305,vf_he_top1000
278,2013[Ni][nia]3[ASR]1,0.522012,12.4459,vf_he_top1000
279,2013[SiCu][pcu]3[ASR]1,0.418083,11.7671,vf_he_top1000
280,2013[Tb][soc]3[ASR]1,0.50916,16,vf_he_top1000
281,2013[Tb][umc]3[ASR]1,0.4476,10.1214,vf_he_top1000
282,2013[Tb][umc]3[ASR]2,0.383245,9.20059,vf_he_top1000
283,2013[Yb][nia]3[ASR]1,0.538419,13.0644,vf_he_top1000
284,2013[ZnCr][lon]3[ASR]1,0.380182,11.4787,vf_he_top1000
285,2013[ZnCr][lon]3[ASR]2,0.459901,14.1194,vf_he_top1000
286,2013[ZnCr][lon]3[ASR]3,0.37662,10.865,vf_he_top1000
287,2013[ZnCr][lon]3[ASR]4,0.395289,11.8146,vf_he_top1000
288,2013[ZnCr][lon]3[ASR]5,0.366168,10.5825,vf_he_top1000
289,2013[ZnCr][lon]3[ASR]6,0.401936,10.7908,vf_he_top1000
290,2013[ZnCr][lon]3[ASR]7,0.362428,10.7974,vf_he_top1000
291,2013[ZnCr][lon]3[ASR]9,0.423046,11.4774,vf_he_top1000
292,2013[ZnGa][nan]3[ION]2,0.409286,16,vf_he_top1000
293,2013[ZnIn][nia]3[ASR]1,0.428519,12.1458,vf_he_top1000
294,2013[ZnSi][nan]3[ASR]1,0.42334,10.5634,vf_he_top1000
295,2013[ZnTi][nan]3[ASR]1,0.400372,12.0572,vf_he_top1000
296,2013[Zn][crs]3[ASR]1,0.321917,9.26752,vf_he_top1000
297,2013[Zn][esg]3[ASR]1,0.347206,9.67706,vf_he_top1000
298,2013[Zn][nan]3[ASR]6,0.368076,12.1732,vf_he_top1000
