# Uniform random sample for the Figure 4 interim plan. seed=20260903; population = 9,167 coordinate-distinct groups of the frozen 12,499 (benchmark/frozen/coord_keys.json); representative = lexicographically first coreid in each group; draw = python random.Random(20260903).sample(sorted(reps), 1500). RECORDED BEFORE ANY RUN. Skip this line.
n,structure_id
351,2011[Cu][nan]3[ASR]7
352,2011[Cu][nts]3[ASR]1
353,2011[Cu][pto]3[ASR]1
354,2011[Cu][pts]3[ASR]3
355,2011[Er][bnn]3[ASR]1
356,2011[Er][ecu]3[ASR]2
357,2011[Er][nan]3[ASR]1
358,2011[EuCo][nan]3[ION]1
359,2011[Eu][cds]3[FSR]1
360,2011[Eu][flu]3[ASR]1
361,2011[Eu][flu]3[FSR]1
362,2011[FeAg][nan]3[ION]1
363,2011[FeHo][nan]3[FSR]1
364,2011[Gd][llj]3[ION]1
365,2011[Gd][nan]3[ASR]7
366,2011[Gd][sra]3[ASR]1
367,2011[HoCu][stp]3[ASR]2
368,2011[La][cds]3[FSR]1
369,2011[La][nan]3[ASR]2
370,2011[La][nan]3[FSR]1
371,2011[Mg][nan]3[ASR]3
372,2011[Mn][gra]3[ASR]1
373,2011[Mn][nan]2[FSR]1
374,2011[Mn][nan]3[ASR]1
375,2011[Nd][mog]3[FSR]1
376,2011[Nd][nan]3[FSR]1
377,2011[Nd][rob]3[ASR]3
378,2011[Ni][nan]3[ASR]1
379,2011[Sc][nan]3[ASR]7
380,2011[Sm][flu]3[ASR]1
381,2011[Tb][nan]3[FSR]2
382,2011[U][gfy]3[FSR]1
383,2011[U][mab]3[ION]1
384,2011[U][nan]3[FSR]1
385,2011[V][bpq]3[ASR]2
386,2011[V][bpq]3[ASR]4
387,2011[V][bpq]3[ASR]8
388,2011[V][ths]3[ASR]1
389,2011[Yb][nan]3[ASR]1
390,2011[Zn][acs]3[ASR]1
391,2011[Zn][bbf]3[ASR]1
392,2011[Zn][dmp]3[ASR]3
393,2011[Zn][gra]3[ASR]1
394,2011[Zn][hcb]2[FSR]1
395,2011[Zn][moa]3[ASR]1
396,2011[Zn][nan]3[ASR]12
397,2011[Zn][nan]3[ASR]13
398,2011[Zn][nan]3[ASR]15
399,2011[Zn][nan]3[ASR]22
400,2011[Zn][nan]3[ASR]29
401,2011[Zn][nan]3[ASR]32
402,2011[Zn][nan]3[ASR]8
403,2011[Zn][nan]3[ION]2
404,2011[Zn][pcu]3[ASR]16
405,2011[Zn][pcu]3[ASR]6
406,2011[Zn][pts]3[ION]1
407,2011[Zn][sod]3[ASR]1
408,2011[Zn][srs]3[ASR]1
409,2011[Zn][srs]3[ASR]8
410,2012[Ag][nbo]3[ION]1
411,2012[Cd][cds]3[FSR]1
412,2012[Cd][dia]3[ASR]1
413,2012[Cd][dia]3[ASR]3
414,2012[Cd][dia]3[ASR]4
415,2012[Cd][etb]3[ASR]1
416,2012[Cd][nan]3[FSR]6
417,2012[Ce][nan]3[FSR]2
418,2012[CoGd][nan]3[ASR]1
419,2012[CoLu][nan]3[ION]1
420,2012[Co][dia]3[ASR]1
421,2012[Co][dia]3[ASR]2
422,2012[Co][ecu]3[ASR]6
423,2012[Co][ecu]3[ASR]7
424,2012[Co][jeb]3[FSR]1
425,2012[Co][msq]3[ASR]1
426,2012[Co][nan]3[ASR]2
427,2012[Co][nan]3[ASR]9
428,2012[Co][ncb]3[ASR]1
429,2012[Co][pcu]3[ASR]11
430,2012[Co][pcu]3[ION]1
431,2012[CuMn][dia]3[ASR]1
432,2012[CuSi][scu]3[ASR]1
433,2012[Cu][bpq]3[ASR]1
434,2012[Cu][pcu]3[ASR]1
435,2012[Cu][qtz]3[ASR]1
436,2012[Cu][sra]3[ASR]2
437,2012[Cu][tbo]3[ASR]2
438,2012[Cu][tbo]3[ASR]6
439,2012[Cu][ths]3[ASR]1
440,2012[Cu][ths]3[ASR]2
441,2012[Eu][nan]3[FSR]3
442,2012[Eu][nan]3[FSR]5
443,2012[FeZr][csq]3[ASR]2
444,2012[FeZr][csq]3[FSR]1
445,2012[Fe][sql]2[ASR]1
446,2012[GdCo][nan]3[FSR]1
447,2012[Gd][nan]3[ASR]6
448,2012[In][dia]3[ASR]6
449,2012[La][hex]3[FSR]1
450,2012[La][nan]3[FSR]2
451,2012[Mg][nan]3[ASR]2
452,2012[Mg][nan]3[ASR]4
453,2012[Mg][nan]3[FSR]1
454,2012[MnNaCu][nan]3[ION]1
455,2012[Mn][pcu]3[ASR]2
456,2012[Mn][pcu]3[ASR]4
457,2012[Nd][nan]3[ASR]3
458,2012[Nd][nan]3[ASR]4
459,2012[Ni][qtz]3[FSR]1
460,2012[PrCo][nan]3[ASR]1
461,2012[Pr][nan]3[FSR]1
462,2012[Sm][nan]3[FSR]4
463,2012[Tb][hex]3[ASR]1
464,2012[Tb][nan]3[ASR]4
465,2012[Tb][nan]3[FSR]4
466,2012[Tb][pcu]3[ASR]1
467,2012[UAg][nan]3[ASR]1
468,2012[Yb][mog]3[ASR]1
469,2012[ZnCu][idp]3[ASR]1
470,2012[ZnEu][nan]3[ASR]1
471,2012[ZnU][nan]3[ASR]1
472,2012[Zn][acs]3[ASR]3
473,2012[Zn][dia]3[ASR]2
474,2012[Zn][dmp]3[ASR]2
475,2012[Zn][fsc]3[ASR]1
476,2012[Zn][nan]3[ASR]16
477,2012[Zn][nan]3[ASR]2
478,2012[Zn][nan]3[ASR]37
479,2012[Zn][nan]3[ASR]8
480,2012[Zn][nan]3[FSR]26
481,2012[Zn][nbo]3[ASR]3
482,2012[Zn][pcu]3[ASR]11
483,2012[Zn][pcu]3[ASR]7
484,2012[Zn][raa]3[ASR]7
485,2012[Zn][rtl]3[ION]1
486,2012[Zn][sod]3[ASR]4
487,2012[Zn][srs]3[ASR]2
488,2013[Ag][lvt]3[ASR]1
489,2013[CdSi][bcu]3[ASR]1
490,2013[CdSi][flu]3[FSR]1
491,2013[Cd][dia]3[ASR]4
492,2013[Cd][nan]3[ASR]1
493,2013[Cd][nan]3[ASR]3
494,2013[Cd][nan]3[FSR]5
495,2013[Cd][pcu]3[ASR]4
496,2013[Cd][pcu]3[ION]1
497,2013[Ce][ant]3[FSR]1
498,2013[Ce][dia]3[ASR]1
499,2013[Ce][nan]3[ASR]6
500,2013[Ce][nan]3[ASR]7
501,2013[Ce][nan]3[FSR]1
502,2013[CoPr][nan]3[FSR]1
503,2013[Co][ins]3[ASR]1
504,2013[Co][lvt]3[ASR]1
505,2013[Co][nan]3[ASR]12
506,2013[Co][nan]3[ASR]14
507,2013[Co][nan]3[ASR]19
508,2013[Co][nan]3[ASR]7
509,2013[Co][nan]3[FSR]1
510,2013[Co][nan]3[FSR]8
511,2013[Co][pcu]3[ASR]3
512,2013[Co][pcu]3[FSR]4
513,2013[Co][tfz]3[ASR]1
514,2013[CuEu][nan]3[FSR]1
515,2013[CuMn][nan]3[ASR]1
516,2013[Cu][cds]3[FSR]1
517,2013[Cu][nan]3[ASR]1
518,2013[Cu][nan]3[ASR]6
519,2013[Cu][nan]3[ASR]9
520,2013[Cu][nan]3[FSR]3
521,2013[Cu][nbo]3[ASR]1
522,2013[Cu][pcu]3[ASR]2
523,2013[Cu][pts]3[ASR]3
524,2013[Cu][sqc]2[FSR]1
525,2013[Cu][ubt]3[ASR]1
526,2013[Dy][dia]3[ASR]1
527,2013[Er][nan]3[FSR]2
528,2013[Eu][nan]3[ASR]10
529,2013[Eu][nan]3[ASR]4
530,2013[Gd][pcu]3[FSR]1
531,2013[Hf][bct]3[ASR]1
532,2013[La][nan]3[FSR]4
533,2013[Mg][acs]3[ASR]5
534,2013[Mn][nan]3[ASR]2
535,2013[MoNi][nan]3[FSR]1
536,2013[NiCd][nan]3[ASR]1
537,2013[Ni][dia]3[FSR]2
538,2013[Ni][hex]3[ASR]1
539,2013[Ni][hms]3[ASR]2
540,2013[Ni][nan]3[ASR]2
541,2013[Ni][sit]3[ASR]2
542,2013[Ni][xmz]3[ASR]5
543,2013[Pb][dia]3[ASR]1
544,2013[SiCu][pcu]3[ASR]1
545,2013[Sm][pts]3[FSR]1
546,2013[Tb][dia]3[ASR]1
547,2013[Tb][pcu]3[ION]1
548,2013[Tb][umc]3[ASR]2
549,2013[Tm][nan]3[ASR]1
550,2013[Tm][nan]3[FSR]2
551,2013[Tm][pcu]3[FSR]1
552,2013[U][fcu]3[ASR]1
553,2013[WCo][mmo]3[FSR]1
554,2013[Y][nan]3[FSR]1
555,2013[Y][nan]3[FSR]3
556,2013[Yb][dia]3[FSR]1
557,2013[ZnCr][lon]3[ASR]1
558,2013[ZnCr][lon]3[ASR]2
559,2013[ZnCr][lon]3[ASR]5
560,2013[ZnCr][lon]3[ASR]7
561,2013[ZnMo][nan]3[FSR]1
562,2013[ZnSi][flu]3[ASR]1
563,2013[ZnSi][flu]3[FSR]1
564,2013[ZnSi][nan]3[ASR]1
565,2013[Zn][bbf]3[ASR]1
566,2013[Zn][crb]3[ASR]4
567,2013[Zn][crb]3[ASR]5
568,2013[Zn][dia]3[ASR]13
569,2013[Zn][idp]3[ASR]1
570,2013[Zn][ins]3[FSR]2
571,2013[Zn][nan]2[ASR]2
572,2013[Zn][nan]3[ASR]2
573,2013[Zn][nan]3[FSR]10
